label,role,dependents,share_of_library_pct
wlim,syntax constructor,22183,46.58
csdm,syntax constructor,22113,46.44
df-sdom,definition,22107,46.42
cc0,syntax constructor,22031,46.26
df-lim,definition,22009,46.22
c1,syntax constructor,21924,46.04
caddc,syntax constructor,21873,45.93
df-om,definition,21864,45.91
wnel,syntax constructor,21863,45.91
df-nel,definition,21856,45.9
cpred,syntax constructor,21824,45.83
df-pred,definition,21820,45.82
ax-resscn,axiom,21805,45.79
cpnf,syntax constructor,21782,45.74
cfrecs,syntax constructor,21714,45.6
df-frecs,definition,21714,45.6
clt,syntax constructor,21657,45.48
cmnf,syntax constructor,21653,45.47
cwrecs,syntax constructor,21633,45.43
df-wrecs,definition,21633,45.43
crecs,syntax constructor,21619,45.4
df-recs,definition,21618,45.4
df-pnf,definition,21490,45.13
df-mnf,definition,21466,45.08
cltrr,syntax constructor,21434,45.01
df-ltxr,definition,21426,44.99
ax-1cn,axiom,21416,44.97
cmul,syntax constructor,21409,44.96
ax-pre-lttri,axiom,21364,44.86
ax-pre-lttrn,axiom,21300,44.73
ax-addcl,axiom,21269,44.66
ci,syntax constructor,21093,44.29
crdg,syntax constructor,20988,44.07
df-rdg,definition,20976,44.05
ax-mulcl,axiom,20947,43.99
ax-addrcl,axiom,20941,43.97
ax-cnre,axiom,20940,43.97
ax-icn,axiom,20934,43.96
ax-i2m1,axiom,20904,43.9
ax-rnegex,axiom,20862,43.81
ax-mulrcl,axiom,20782,43.64
ax-1ne0,axiom,20771,43.62
ax-rrecex,axiom,20769,43.61
cle,syntax constructor,20729,43.53
ax-addass,axiom,20713,43.5
ax-mulass,axiom,20694,43.46
ax-distr,axiom,20693,43.45
ax-1rid,axiom,20685,43.44
ax-pre-ltadd,axiom,20674,43.41
ax-mulcom,axiom,20605,43.27
cmin,syntax constructor,20582,43.22
cxr,syntax constructor,20541,43.13
df-xr,definition,20512,43.07
df-le,definition,20201,42.42
cneg,syntax constructor,20180,42.38
df-neg,definition,20141,42.29
df-sub,definition,20120,42.25
c1st,syntax constructor,19870,41.73
cn,syntax constructor,19732,41.44
df-1st,definition,19685,41.34
ax-cnex,axiom,19516,40.98
ax-pre-mulgt0,axiom,19361,40.66
