database,foundation,label,typecode,role,dependents,share_of_db_pct,entry_points,source_revision
set.mm,"ZFC, classical first-order",df-srng,|-,assertion,187,0.39,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-cofu,|-,assertion,186,0.39,4,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-nrg,|-,assertion,186,0.39,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cclm,class,syntax constructor,185,0.39,113,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cfuc,class,syntax constructor,185,0.39,88,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-muls,|-,assertion,185,0.39,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-staf,|-,assertion,185,0.39,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ccoe,class,syntax constructor,184,0.39,79,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cltq,class,syntax constructor,183,0.38,50,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-clm,|-,assertion,182,0.38,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cdenom,class,syntax constructor,180,0.38,43,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmir,class,syntax constructor,180,0.38,51,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnumer,class,syntax constructor,180,0.38,38,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-denom,|-,assertion,180,0.38,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-numer,|-,assertion,180,0.38,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-plusf,|-,assertion,180,0.38,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-mir,|-,assertion,179,0.38,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",creverse,class,syntax constructor,178,0.37,24,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-reverse,|-,assertion,178,0.37,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cdgr,class,syntax constructor,177,0.37,119,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-coe,|-,assertion,176,0.37,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",c1q,class,syntax constructor,175,0.37,22,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cerq,class,syntax constructor,175,0.37,26,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-1nq,|-,assertion,175,0.37,5,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",c-bnj14,class,syntax constructor,174,0.36,131,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cidom,class,syntax constructor,174,0.36,88,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",crpss,class,syntax constructor,174,0.36,49,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csect,class,syntax constructor,174,0.36,40,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-phl,|-,assertion,174,0.36,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cceil,class,syntax constructor,173,0.36,93,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cvtxdg,class,syntax constructor,173,0.36,97,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-erq,|-,assertion,173,0.36,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
