library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.Int.LemmasAux,Int.natCast_nonpos_iff,_private.Init.Data.Int.LemmasAux.0.Int.natCast_nonpos_iff._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.natCast_toNat_eq_self,_private.Init.Data.Int.LemmasAux.0.Int.natCast_toNat_eq_self._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.neg_lt_self_iff,_private.Init.Data.Int.LemmasAux.0.Int.neg_lt_self_iff._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.neg_nonpos_iff,_private.Init.Data.Int.LemmasAux.0.Int.neg_nonpos_iff._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.pos_iff_toNat_pos,_private.Init.Data.Int.LemmasAux.0.Int.pos_iff_toNat_pos._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.toNat_eq_zero,_private.Init.Data.Int.LemmasAux.0.Int.toNat_eq_zero._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.toNat_le,_private.Init.Data.Int.LemmasAux.0.Int.toNat_le._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.toNat_lt',_private.Init.Data.Int.LemmasAux.0.Int.toNat_lt'._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.toNat_lt_toNat,_private.Init.Data.Int.LemmasAux.0.Int.toNat_lt_toNat._proof_1_1,2,removed,
Init,Init.Data.Int.Pow,Int.pow_lt_pow_of_lt,_private.Init.Data.Int.Pow.0.Int.pow_lt_pow_of_lt._proof_1_3,2,removed,
Init,Init.Data.List.Nat.Range,List.count_range_1',_private.Init.Data.List.Nat.Range.0.List.count_range_1'._proof_1_3,1,removed,
Init,Init.Data.List.Nat.Range,List.erase_range',_private.Init.Data.List.Nat.Range.0.List.erase_range'._proof_1_6,1,removed,
Init,Init.Data.List.Nat.Range,List.erase_range',_private.Init.Data.List.Nat.Range.0.List.erase_range'._proof_1_7,1,removed,
Init,Init.Data.List.Nat.Range,List.erase_range',_private.Init.Data.List.Nat.Range.0.List.erase_range'._proof_1_9,2,removed,
